# s t p1 p2 p3 q1 q2 q3 r
24 60 0.338418 0.328964 0.332618 0.328964 0.338418 0.332618 0.954719
24 63 0.337335 0.329882 0.332783 0.329882 0.337335 0.332783 0.964792
24 66 0.336476 0.330620 0.332904 0.330620 0.336476 0.332904 0.972755
24 69 0.335785 0.331215 0.333000 0.331215 0.335785 0.333000 0.979021
24 72 0.335240 0.331687 0.333073 0.331687 0.335240 0.333073 0.983914
24 75 0.334808 0.332062 0.333130 0.332062 0.334808 0.333130 0.987717
24 78 0.334470 0.332355 0.333175 0.332355 0.334470 0.333175 0.990656
24 81 0.334206 0.332585 0.333210 0.332585 0.334206 0.333210 0.992918
24 84 0.334000 0.332762 0.333237 0.332762 0.334000 0.333237 0.994650
24 87 0.333842 0.332900 0.333259 0.332900 0.333842 0.333259 0.995971
24 90 0.333719 0.333005 0.333276 0.333005 0.333719 0.333276 0.996975
24 93 0.333625 0.333086 0.333289 0.333086 0.333625 0.333289 0.997735
24 96 0.333554 0.333147 0.333299 0.333147 0.333554 0.333299 0.998309
24 99 0.333499 0.333194 0.333307 0.333194 0.333499 0.333307 0.998740

27 3 0.331781 0.336677 0.331542 0.336677 0.331781 0.331542 0.020818
27 6 0.325822 0.342189 0.331989 0.342189 0.325822 0.331989 0.046319
27 9 0.323181 0.347414 0.329405 0.347414 0.323181 0.329405 0.095421
27 12 0.316087 0.355362 0.328552 0.355362 0.316087 0.328552 0.150985
27 15 0.313246 0.360911 0.325843 0.360911 0.313246 0.325843 0.220166
27 18 0.308074 0.368059 0.323866 0.368059 0.308074 0.323866 0.291300
27 21 0.305991 0.372065 0.321944 0.372065 0.305991 0.321944 0.364913
27 24 0.302941 0.377419 0.319641 0.377419 0.302941 0.319641 0.435113
27 27 0.301719 0.383133 0.315148 0.301719 0.383133 0.315148 0.500000
27 30 0.375198 0.304457 0.320346 0.304457 0.375198 0.320346 0.559877
27 33 0.368888 0.307257 0.323854 0.307257 0.368888 0.323854 0.619861
27 36 0.364762 0.310038 0.325201 0.310038 0.364762 0.325201 0.674234
27 39 0.359712 0.312983 0.327306 0.312983 0.359712 0.327306 0.724954
27 42 0.355880 0.315654 0.328466 0.315654 0.355880 0.328466 0.769649
27 45 0.352010 0.318282 0.329709 0.318282 0.352010 0.329709 0.809370
27 48 0.348931 0.320583 0.330486 0.320583 0.348931 0.330486 0.843438
27 51 0.346100 0.322705 0.331195 0.322705 0.346100 0.331195 0.872652
27 54 0.343811 0.324521 0.331668 0.324521 0.343811 0.331668 0.897124
27 57 0.341817 0.326117 0.332067 0.326117 0.341817 0.332067 0.917545
27 60 0.340199 0.327456 0.332346 0.327456 0.340199 0.332346 0.934312
27 63 0.338836 0.328593 0.332571 0.328593 0.338836 0.332571 0.948010
27 66 0.337734 0.329530 0.332736 0.329530 0.337734 0.332736 0.959070
27 69 0.336827 0.330306 0.332868 0.330306 0.336827 0.332868 0.967953
27 72 0.336098 0.330936 0.332967 0.330936 0.336098 0.332967 0.975025
27 75 0.335508 0.331446 0.333046 0.331446 0.335508 0.333046 0.980627
27 78 0.335038 0.331855 0.333106 0.331855 0.335038 0.333106 0.985035
27 81 0.334663 0.332182 0.333155 0.332182 0.334663 0.333155 0.988486
27 84 0.334367 0.332440 0.333193 0.332440 0.334367 0.333193 0.991174
27 87 0.334133 0.332644 0.333223 0.332644 0.334133 0.333223 0.993259
27 90 0.333950 0.332803 0.333247 0.332803 0.333950 0.333247 0.994868
27 93 0.333807 0.332927 0.333266 0.332927 0.333807 0.333266 0.996105
27 96 0.333696 0.333023 0.333281 0.333023 0.333696 0.333281 0.997053
27 99 0.333610 0.333097 0.333293 0.333097 0.333610 0.333293 0.997776

30 3 0.332166 0.335787 0.332047 0.335787 0.332166 0.332047 0.014059
30 6 0.327940 0.339856 0.332204 0.339856 0.327940 0.332204 0.032669
30 9 0.325421 0.344333 0.330245 0.344333 0.325421 0.330245 0.070272
30 12 0.319629 0.350725 0.329647 0.350725 0.319629 0.329647 0.115244
30 15 0.316557 0.356112 0.327332 0.356112 0.316557 0.327332 0.174116
30 18 0.311748 0.362204 0.326048 0.362204 0.311748 0.326048 0.237253
30 21 0.309197 0.367163 0.323640 0.367163 0.309197 0.323640 0.306117
30 24 0.305953 0.371291 0.322756 0.371291 0.305953 0.322756 0.373333
30 27 0.304457 0.375198 0.320346 0.375198 0.304457 0.320346 0.440123
30 30 0.302179 0.380932 0.316889 0.302179 0.380932 0.316889 0.500000
30 33 0.372905 0.305084 0.322011 0.305084 0.372905 0.322011 0.557548
30 36 0.367851 0.307650 0.324499 0.307650 0.367851 0.324499 0.613840
30 39 0.363603 0.310402 0.325995 0.310402 0.363603 0.325995 0.666696
30 42 0.359402 0.313049 0.327549 0.313049 0.359402 0.327549 0.715415
30 45 0.355553 0.315667 0.328780 0.315667 0.355553 0.328780 0.759585
30 48 0.352153 0.318078 0.329769 0.318078 0.352153 0.329769 0.798738
30 51 0.349081 0.320338 0.330580 0.320338 0.349081 0.330580 0.833094
30 54 0.346466 0.322347 0.331188 0.322347 0.346466 0.331188 0.862665
30 57 0.344170 0.324151 0.331679 0.324151 0.344170 0.331679 0.887906
30 60 0.342248 0.325711 0.332042 0.325711 0.342248 0.332042 0.909128
30 63 0.340604 0.327065 0.332331 0.327065 0.340604 0.332331 0.926836
30 66 0.339242 0.328211 0.332546 0.328211 0.339242 0.332546 0.941441
30 69 0.338103 0.329181 0.332716 0.329181 0.338103 0.332716 0.953405
30 72 0.337168 0.329986 0.332846 0.329986 0.337168 0.332846 0.963116
30 75 0.336399 0.330653 0.332948 0.330653 0.336399 0.332948 0.970951
30 78 0.335774 0.331199 0.333028 0.331199 0.335774 0.333028 0.977225
30 81 0.335267 0.331643 0.333091 0.331643 0.335267 0.333091 0.982222
30 84 0.334859 0.332001 0.333141 0.332001 0.334859 0.333141 0.986179
30 87 0.334532 0.332288 0.333180 0.332288 0.334532 0.333180 0.989297
30 90 0.334271 0.332517 0.333212 0.332517 0.334271 0.333212 0.991741
30 93 0.334064 0.332699 0.333237 0.332699 0.334064 0.333237 0.993649
30 96 0.333901 0.332842 0.333258 0.332842 0.333901 0.333258 0.995132
30 99 0.333772 0.332954 0.333274 0.332954 0.333772 0.333274 0.996280

33 3 0.332600 0.334847 0.332553 0.334847 0.332600 0.332553 0.009287
33 6 0.329773 0.337544 0.332683 0.337544 0.329773 0.332683 0.022520
33 9 0.327691 0.340887 0.331422 0.340887 0.327691 0.331422 0.050605
33 12 0.323069 0.345870 0.331061 0.345870 0.323069 0.331061 0.086182
33 15 0.320091 0.350426 0.329482 0.350426 0.320091 0.329482 0.134817
33 18 0.315602 0.356075 0.328324 0.356075 0.315602 0.328324 0.189821
33 21 0.312746 0.360619 0.326634 0.360619 0.312746 0.326634 0.251799
33 24 0.309342 0.365647 0.325011 0.365647 0.309342 0.325011 0.315763
33 27 0.307257 0.368888 0.323854 0.368888 0.307257 0.323854 0.380139
33 30 0.305084 0.372905 0.322011 0.372905 0.305084 0.322011 0.442452
33 33 0.303535 0.377861 0.318603 0.303535 0.377861 0.318603 0.500000
33 36 0.371192 0.306116 0.322692 0.306116 0.371192 0.322692 0.554323
33 39 0.366256 0.308522 0.325222 0.308522 0.366256 0.325222 0.608757
33 42 0.362782 0.310932 0.326285 0.310932 0.362782 0.326285 0.659355
33 45 0.358681 0.313446 0.327873 0.313446 0.358681 0.327873 0.707027
33 48 0.355336 0.315806 0.328859 0.315806 0.355336 0.328859 0.750137
33 51 0.352018 0.318114 0.329868 0.318114 0.352018 0.329868 0.789075
33 54 0.349220 0.320211 0.330569 0.320211 0.349220 0.330569 0.823342
33 57 0.346652 0.322158 0.331191 0.322158 0.346652 0.331191 0.853317
33 60 0.344479 0.323880 0.331641 0.323880 0.344479 0.331641 0.879070
33 63 0.342568 0.325418 0.332015 0.325418 0.342568 0.332015 0.901032
33 66 0.340960 0.326748 0.332292 0.326748 0.340960 0.332292 0.919515
33 69 0.339585 0.327900 0.332515 0.327900 0.339585 0.332515 0.934958
33 72 0.338437 0.328878 0.332684 0.328878 0.338437 0.332684 0.947730
33 75 0.337475 0.329706 0.332819 0.329706 0.337475 0.332819 0.958223
33 78 0.336681 0.330396 0.332923 0.330396 0.336681 0.332923 0.966773
